2025-10-01 15:15:02,715 - INFO - Loaded car configuration from file
2025-10-01 15:15:02,748 - INFO - iRacing SDK initialized
2025-10-01 15:36:57,772 - INFO - Upshift alert: 8218 RPM (target: 8200, gear: 2)
2025-10-01 15:36:59,802 - INFO - Upshift alert: 8243 RPM (target: 8200, gear: 3)
2025-10-01 15:37:03,338 - INFO - Upshift alert: 8204 RPM (target: 8200, gear: 3)
2025-10-01 15:37:09,493 - INFO - Upshift alert: 8709 RPM (target: 8200, gear: 1)
2025-10-01 15:38:59,470 - INFO - Upshift alert: 8732 RPM (target: 8200, gear: 0)
2025-10-01 15:38:59,734 - INFO - Upshift alert: 8596 RPM (target: 8200, gear: 1)
2025-10-01 15:39:04,587 - INFO - Upshift alert: 8332 RPM (target: 8200, gear: 1)
2025-10-01 15:39:07,036 - INFO - Upshift alert: 8308 RPM (target: 8200, gear: 2)
2025-10-01 15:39:09,005 - INFO - Upshift alert: 8211 RPM (target: 8200, gear: 3)
2025-10-01 15:39:18,833 - INFO - Upshift alert: 8254 RPM (target: 8200, gear: 2)
2025-10-01 15:39:27,391 - INFO - Upshift alert: 8341 RPM (target: 8200, gear: 2)
2025-10-01 15:39:29,578 - INFO - Upshift alert: 8241 RPM (target: 8200, gear: 3)
2025-10-01 15:39:33,456 - INFO - Upshift alert: 8509 RPM (target: 8500, gear: 4)
2025-10-01 15:39:38,152 - INFO - Upshift alert: 8423 RPM (target: 8200, gear: 0)
2025-10-01 15:39:39,020 - INFO - Upshift alert: 8266 RPM (target: 8200, gear: 3)
2025-10-01 15:39:46,757 - INFO - Upshift alert: 8328 RPM (target: 8200, gear: 2)
2025-10-01 15:39:48,866 - INFO - Upshift alert: 8269 RPM (target: 8200, gear: 3)
2025-10-01 15:40:18,154 - INFO - Upshift alert: 8226 RPM (target: 8200, gear: 3)
2025-10-01 15:40:22,014 - INFO - Upshift alert: 8513 RPM (target: 8500, gear: 4)
2025-10-01 15:40:22,945 - INFO - Upshift alert: 8518 RPM (target: 8500, gear: 4)
2025-10-01 15:40:23,208 - INFO - Upshift alert: 8262 RPM (target: 8200, gear: 3)
2025-10-01 15:40:28,899 - INFO - Upshift alert: 8267 RPM (target: 8200, gear: 3)
2025-10-01 15:40:43,059 - INFO - Upshift alert: 8232 RPM (target: 8200, gear: 3)
2025-10-01 15:40:46,750 - INFO - Upshift alert: 8508 RPM (target: 8500, gear: 4)
2025-10-01 15:40:48,176 - INFO - Upshift alert: 8524 RPM (target: 8200, gear: 0)
2025-10-01 15:40:54,113 - INFO - Upshift alert: 8266 RPM (target: 8200, gear: 2)
2025-10-01 15:40:56,068 - INFO - Upshift alert: 8210 RPM (target: 8200, gear: 3)
2025-10-01 15:41:01,122 - INFO - Upshift alert: 8256 RPM (target: 8200, gear: 3)
2025-10-01 15:41:04,984 - INFO - Upshift alert: 8528 RPM (target: 8500, gear: 4)
2025-10-01 15:41:11,870 - INFO - Upshift alert: 8712 RPM (target: 8700, gear: 5)
2025-10-01 15:41:24,910 - INFO - Upshift alert: 8201 RPM (target: 8200, gear: 2)
2025-10-01 15:41:30,385 - INFO - Upshift alert: 8383 RPM (target: 8200, gear: 2)
